"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"TSPAN6",985,721,1395,1988,1200,348,622,2056,881,1229,4915,8260,1804,1575,5209,8522,7249,2272,667,5638
"TNMD",2,0,8,6,2,0,1,5,1,1,0,6,0,0,2,0,0,0,10,1
"DPM1",1278,767,1031,1520,909,752,619,1573,941,1703,2023,3235,1118,1819,1229,2548,3144,851,554,1208
"SCYL3",413,465,541,815,373,211,411,774,536,345,1156,1587,554,917,666,2384,1768,565,716,883
"C1orf112",135,75,135,170,70,38,79,154,144,122,670,779,196,173,358,1790,1359,199,619,211
"FGR",12378,3573,3245,6303,2123,1506,1896,3092,2954,3772,1463,2943,243,38,909,491,798,2245,455,736
"CFH",5540,1868,9854,13690,1801,1384,3391,4816,2112,6617,15326,5508,1487,585,6342,25374,2206,6666,2567,10602
"FUCA2",3010,1202,1898,2921,1053,692,1115,3013,1625,2449,3423,3124,964,524,2758,3128,2731,2188,588,1096
"GCLC",1077,706,970,1569,619,318,487,1225,735,864,4585,4976,2196,1019,28670,1205,2149,5046,2194,951
"NFYA",1459,875,1256,1637,705,572,690,1280,1014,953,4775,4919,1677,869,1439,3312,3118,1744,738,1092
"STPG1",571,445,709,1135,518,255,384,1233,374,543,940,898,324,465,573,1219,392,601,72,1003
"NIPAL3",2640,2608,3725,5301,2435,1236,2334,5187,3005,1701,3434,3821,2047,1450,904,4195,1844,1916,481,4506
"LAS1L",1894,1054,1618,2255,1176,636,954,1978,1578,1050,3367,2039,1016,1214,3593,3986,4661,1583,599,2215
"ENPP4",4262,2973,2270,4318,1844,1947,2558,5241,1663,2904,3975,7129,2541,1342,1183,6432,1476,1447,1069,2215
"SEMA3F",1739,1510,3233,2799,1163,822,1221,1442,1721,2212,2431,1771,163,228,1474,3290,8594,608,129,2339
"CFTR",2581,2314,1148,1964,1513,1033,658,2181,3094,1409,185,1983,761,177,77,1683,29,188,1299,4190
"ANKIB1",2074,1954,2279,2750,1651,1221,1599,3375,1478,1580,3725,6861,2028,1083,2724,10215,5799,2745,4743,2661
"CYP51A1",356,278,125,348,173,137,149,249,108,173,51,308,19,39,73,352,361,21,10,77
"KRIT1",198,159,205,348,206,135,125,371,186,159,333,578,191,200,415,529,579,270,766,282
"RAD52",193,238,333,414,302,101,176,509,247,143,636,1178,170,286,243,2430,932,247,362,372
"MYH16",7,2,4,6,3,0,3,9,3,0,27,16,14,10,111,25,12,10,38,5
"BAD",590,287,495,745,191,102,223,769,465,872,874,736,44,309,501,327,826,308,31,480
"LAP3",9845,4037,5936,10236,4591,3435,3867,8399,6388,9108,8474,8206,4292,2077,3993,6940,3780,6336,1491,5296
"CD99",8050,2776,4900,6836,1807,1568,2998,4025,3231,5454,4174,3156,1731,748,5790,5024,5504,3300,532,2552
"HS3ST1",214,199,247,647,303,85,121,486,407,499,1684,2058,854,105,831,1406,3682,1710,652,383
"AOC1",216,35,65,157,19,1,16,55,148,68,5953,9142,17,404,77,111,8903,2106,11,458
"WNT16",7,1,2,9,6,3,3,12,23,3,17,94,3,5,28,7,22,10,51,13
"HECW1",12,13,67,28,21,2,1,4,7,28,110,34,7,56,89,224,35,15,90,51
"MAD1L1",49,36,36,46,29,20,23,35,102,23,41,28,8,2,20,25,68,26,50,22
"LASP1",17253,9493,16189,17750,5456,3345,6416,12021,10987,10307,35511,33877,7845,3158,21882,22072,20527,9886,1508,7759
"SNX11",1719,805,1586,1742,754,448,668,1982,1637,2152,1486,2305,747,576,1126,2970,1676,816,212,886
"TMEM176A",3673,1051,4043,4258,488,679,882,1055,3139,3681,8701,4424,649,3617,1818,875,7523,3673,209,1777
"M6PR",7709,2973,4486,5775,2147,1463,2342,4671,3749,4031,5865,8105,1396,896,1385,6454,9579,2702,839,3493
"KLHL13",55,50,141,431,77,20,66,300,89,200,89,2201,177,20,1249,695,200,121,50,303
"CYP26B1",98,385,902,2470,70,185,274,474,905,175,165,367,56,40,311,910,317,393,62,74
"ICA1",1142,761,914,803,741,420,524,1477,807,571,1614,2613,1255,1556,2671,5126,9903,949,579,1703
"DBNDD1",537,223,640,573,250,100,209,696,363,245,3305,1904,260,911,6515,4399,3325,1164,52,428
"ALS2",1534,1137,1374,1891,1154,697,895,1824,997,844,1772,3382,883,426,1380,4513,2966,1159,1185,943
"CASP10",1826,1524,2401,2478,1228,1035,1188,2265,1399,1476,3657,4355,1292,388,1113,2142,2416,2899,1136,1310
"CFLAR",16216,9521,9097,12283,12909,7945,7827,13768,6320,5550,14815,10663,7634,1753,5352,7745,6583,19260,9183,6599
"TFPI",9956,8709,8394,10546,10952,6762,5904,9233,8623,14105,27891,5458,7364,331,676,22053,3565,4312,11250,16908
"NDUFAF7",425,274,360,535,345,229,193,477,382,427,1381,1044,385,368,1160,1526,759,789,403,394
"RBM5",2420,1412,2647,4053,2250,1396,1360,3749,2175,940,3915,4765,2435,1907,2546,8628,3988,3523,2674,2652
"MTMR7",74,54,64,155,79,48,82,140,60,41,179,127,28,62,75,265,55,57,292,92
"SLC7A2",3330,2792,1646,4874,2892,2227,1498,2078,1870,1216,1754,1798,930,30,178,14388,5037,1210,1261,4453
"ARF5",4184,1818,3689,4459,1612,932,1507,3967,3209,5161,5775,8848,875,2782,7363,4964,6573,2832,232,2306
"SARM1",300,210,326,470,211,61,211,414,265,150,522,557,124,51,200,301,477,252,145,426
"POLDIP2",5140,2415,4005,4693,2358,1085,1886,4416,4273,3550,9039,10103,2643,1571,6550,8962,12024,4520,601,2952
"PLXND1",16315,11045,17919,16352,8342,3892,8530,9451,10899,6848,12872,15999,1089,899,4026,19101,14191,14665,5207,6398
"AK2",5845,3239,4816,6188,3088,1814,2491,5831,4877,5338,10715,12372,4090,5626,6448,38843,10784,6153,2489,5451
"CD38",2838,265,772,2001,456,448,1018,2421,1131,856,1189,681,415,2040,4011,3748,595,1444,721,513
"FKBP4",2538,1191,2110,2898,1469,738,1042,2588,1931,2078,5072,9201,1420,1531,2461,10181,6144,1550,706,1174
"KDM1A",3214,1819,2902,4051,1892,1000,1612,3435,2444,1796,8250,9714,1892,2462,3737,12736,7728,4263,1398,3725
"RBM6",2481,2174,2513,3270,2825,1482,1829,4201,2596,818,5610,5918,2407,1609,5475,9801,5799,4229,2578,2938
"CAMKK1",862,491,641,787,375,147,338,736,555,263,1231,1163,116,274,523,657,1186,565,150,564
"RECQL",1254,751,1090,1524,617,618,795,995,774,771,1864,4702,501,263,431,2473,1783,849,566,877
"VPS50",1006,761,1053,1519,825,568,639,1707,850,1036,1194,3305,708,573,621,2683,1676,861,1195,1219
"HSPB6",649,261,698,1945,90,86,386,467,250,610,292,73,2,16,50,232,42,57,2,76
"ARHGAP33",111,126,134,185,125,78,128,238,138,55,819,428,85,164,1105,571,317,535,92,148
"NDUFAB1",1668,798,1230,2006,791,416,652,2659,1414,2823,2381,3705,1009,1780,3578,2893,3379,1986,409,1468
"PDK4",11032,8138,3852,13773,26122,5991,6853,6515,3463,9041,1759,2669,364,549,217,11602,1418,2233,2522,930
"SLC22A16",33,3,4,14,7,6,2,0,14,12,3,3,18,0,54,18,1,9,11,1
"ZMYND10",82,172,276,2408,771,21,190,3396,635,167,392,62,141,42,393,421,18,390,10,1650
"ABCB5",12,1,8,64,9,4,30,8,6,7,3,40,4,0,1,154,665,0,49,4
"ARX",0,10,10,97,32,0,11,142,33,5,560,6,98,2,76,5,349,74,1,136
"SLC25A13",1362,653,982,1060,728,318,513,900,693,686,2193,7004,652,649,1784,6950,6223,1095,1619,1584
"ST7",3257,1662,2284,2663,1739,807,1274,3617,1914,1819,1846,3703,911,1306,1907,3566,2808,1029,690,1896
"CDC27",3157,1982,2593,3495,1652,1588,1657,3019,1825,2303,3384,4851,2234,674,2029,7940,5024,2931,3271,1795
"SLC4A1",34,50,6,82,14,26,9,0,2,68,3,29,1,0,8,2,2,3,11,0
"CALCR",15,4,27,22,10,4,7,25,3,18,31,96,114,20,4,43,59,5,35,10
"HCCS",1432,625,897,1192,564,417,425,1161,773,1190,1454,1658,607,541,1634,1619,3057,760,272,954
"DVL2",1402,1133,1615,2099,914,392,845,1601,1375,1116,2339,4331,268,586,2819,3254,2745,1290,216,1104
"PRSS22",624,306,341,423,218,150,139,738,289,278,4506,5155,202,360,2920,359,2303,1186,492,978
"UPF1",9568,3416,6856,9318,4014,2409,2906,6661,5467,3222,24828,8262,1113,2576,8192,12893,10795,4881,738,5453
"SKAP2",4038,2610,3244,5349,2070,2104,2788,3823,2722,4814,5178,4464,1924,543,2771,949,5699,4259,2390,3666
"SLC25A5",16310,6626,9809,11552,7251,3283,4813,12838,11902,15527,11237,53525,6245,11493,12517,18208,47307,7877,953,10693
"MCUB",1138,305,756,1076,302,247,365,1108,931,1259,1099,719,896,106,824,228,628,1486,710,495
"HOXA11",1,0,3,1,0,0,0,1,3,4,32,1,0,0,1,0,401,0,2,0
"POLR2J",1108,591,899,1268,561,304,440,1195,1109,1370,1967,2508,261,1129,3297,2086,2602,815,67,1153
"DHX33",1099,538,923,1254,595,380,582,1082,633,431,1398,1746,428,265,1239,3413,1721,926,606,731
"MEOX1",164,13,271,204,14,12,41,20,127,83,75,141,19,4,60,18,15,42,6,88
"THSD7A",375,308,809,533,427,344,406,574,225,189,177,843,86,17,61,3756,373,181,1531,151
"LIG3",1158,610,1115,1127,683,409,671,993,842,533,1864,2301,971,734,2359,6207,5134,1021,844,1029
"RPAP3",1033,692,881,1213,719,561,615,1184,930,885,2821,2086,704,722,1852,3531,3109,1017,895,1345
"ACSM3",718,540,724,662,417,259,346,742,710,461,687,1978,319,344,57,346,113,333,100,1204
"REXO5",122,69,87,145,98,28,43,123,106,76,128,541,242,156,299,827,676,177,188,229
"CIAPIN1",2692,1047,2005,2133,1122,676,984,2180,1739,2332,3228,3428,1014,1274,3272,4222,4384,1287,342,761
"SPPL2B",1420,684,1128,1628,750,343,606,1730,1256,729,4120,2487,236,533,3579,2414,2429,1808,271,1296
"FAM214B",2547,1048,1778,1574,951,469,826,1671,1272,1266,2546,3100,739,279,2169,1988,3709,1313,251,604
"COPZ2",595,279,778,1272,277,173,332,755,541,855,857,386,150,56,1253,94,1620,332,136,195
"PRKAR2B",933,455,680,1606,681,427,568,997,547,838,461,276,560,1250,275,2969,117,544,277,1205
"MSL3",1651,789,1572,1912,823,575,646,2097,1424,1528,2625,1919,944,851,1589,3267,2175,1869,1085,1715
"CREBBP",6402,5764,6644,8965,3932,2362,4407,6382,5040,2038,15420,10696,2236,1591,3114,15081,8122,3541,2652,6412
"TSPOAP1",553,522,752,1418,786,213,535,1497,571,185,1319,1561,360,150,535,668,527,1516,71,1101
"MPO",86,18,44,58,8,9,16,18,30,43,21,45,0,4,7,16,32,25,4,17
"PON1",55,13,9,31,40,10,8,40,26,5,143,129,70,26,74,84,76,329,79,37
"GCFC2",517,526,440,796,468,363,437,811,407,566,712,1240,540,229,902,2105,1437,639,799,518
"WDR54",320,209,542,1349,536,117,257,1455,684,579,1204,885,256,263,765,605,502,841,75,890
"CROT",580,485,758,1103,464,327,381,1032,527,719,946,4525,397,352,290,831,1027,820,369,806
"ABCB4",42,13,46,46,10,13,16,14,116,4,191,79,81,32,32,1230,935,64,75,73
"KMT2E",5174,3980,4849,6312,3431,2685,3332,5546,3308,1650,4274,8857,3286,1374,3316,15030,5399,3314,5417,5036
"RHBDD2",13635,4741,7836,9346,3702,2136,4671,12149,7679,7230,9609,5181,1038,3769,5956,12554,9794,5727,359,6541
"SOX8",21,14,49,15,10,13,12,15,282,15,33,46,31,2,31,6,46,39,14,39
"IBTK",3859,2183,2580,3746,2273,1419,1744,3671,2200,1972,4727,6518,2415,1072,2179,9146,7482,2847,4145,2631
"ZNF195",641,466,655,856,589,379,426,1308,672,571,3258,4591,631,224,2376,3256,3666,999,2112,890
"MYCBP2",2740,2674,3060,3896,2107,1374,2236,3046,2810,1049,2793,4129,1822,434,1758,9744,2359,2007,4103,3231
"FBXL3",2524,2131,2650,3836,1996,1569,2049,4758,2045,3702,1964,4458,1768,1332,1165,1770,1473,1400,1338,1926
"ITGAL",6548,3984,4743,7438,1422,1184,1633,4352,6057,2404,3076,1943,779,79,1611,861,866,2533,296,2780
"PDK2",820,817,1399,1765,728,287,623,1460,1113,932,2111,1928,388,440,645,1507,1555,471,66,784
"ITGA3",21002,16458,31155,29520,12375,8028,15034,34060,19220,10776,61127,24135,11003,5335,5026,43931,15337,52397,6062,12006
"ZFX",1409,1057,2149,3201,1561,679,1003,3335,1435,1328,2668,2088,977,724,1712,2651,4008,1394,1778,2400
"LAMP2",15300,7960,10630,13593,6766,5298,7395,15081,7376,11711,17204,46113,4720,3819,8019,10611,19439,12619,5681,10485
"ITGA2B",112,57,23,224,61,80,23,50,58,335,52,148,29,8,247,13,7,122,6,8
"ASB4",29,51,30,36,43,31,14,68,24,30,17,114,35,12,19,31,82,14,19,53
"GDE1",5890,2837,5027,5551,2771,1583,2846,6849,4067,4368,7169,17200,2734,2383,4079,14089,3572,6073,1844,4928
"REX1BD",1168,418,739,1316,223,180,324,1169,809,1521,1328,716,42,873,3066,1391,1090,1393,60,605
"CRLF1",737,85,1057,1543,97,22,66,280,110,429,2294,998,121,1866,139,115435,11376,297,19,6733
"OSBPL7",475,453,711,911,399,161,399,822,665,298,2130,2285,116,265,1156,860,1035,2192,260,716
"TMEM98",3234,2324,6204,6805,2230,1403,2092,5550,2896,4788,5295,5374,1754,339,2153,3763,9533,9889,494,4668
"YBX2",11,2,6,16,5,4,3,16,10,5,349,1546,45,242,1985,673,491,3,11,17
"KRT33A",0,0,0,0,0,0,0,0,0,0,1,707,0,0,0,0,0,0,2,0
"MAP3K14",2105,733,1169,1359,762,697,432,1101,1765,469,1838,1551,206,57,994,2065,605,1070,150,1452
"ABCC8",46,16,12,162,73,17,28,107,91,4,30,22,2,14,12,193,17,10,11,11
"CACNG3",0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,3,2
"TMEM132A",656,447,1140,939,318,232,281,794,627,933,4556,5762,133,297,4582,6403,5194,1556,451,291
"AP2B1",15057,9308,14587,18071,8827,5525,8382,16232,10323,8213,21455,21113,12344,3860,17774,22559,12786,16454,4019,13727
"TAC1",31,0,0,20,0,5,4,0,0,6,134,3,0,1,1,1,3,4,3,0
"ZNF263",1596,925,1225,1923,810,543,798,1693,1147,990,3722,3616,609,881,1531,2266,1799,1272,426,1938
"CX3CL1",11730,7140,6114,9282,6882,5253,4039,6631,2957,9554,10382,2031,1072,308,1080,5217,695,7367,107,2278
"SPATA20",2883,406,1985,3464,1232,402,679,1842,1371,2338,6392,5758,878,1460,4653,9171,7835,3616,355,1619
"CACNA1G",47,4,24,74,9,13,10,11,23,17,17,18,2,0,30,88,16,29,18,263
"TNFRSF12A",10267,859,2143,2858,842,1944,688,3863,1070,6090,13808,4480,357,1044,3817,2264,2170,4967,305,1901
"DLX6",0,0,1,0,1,0,0,0,6,16,246,273,3,1,72,0,68,1,1,4
"MAP3K9",1499,735,1041,1147,565,223,545,1580,900,151,1725,2065,1824,307,799,4055,1878,1249,651,1349
"RALA",3906,4249,4104,5490,3536,3524,3280,4653,2823,8527,3906,5261,1786,1375,4060,8353,8481,2759,1400,2143
"BAIAP2L1",2163,781,1152,1734,923,556,741,2946,868,719,2672,5153,1353,2062,6004,4077,5457,2686,1515,2236
"KDM7A",2216,1898,1692,2198,1686,1458,1062,2388,1335,998,1190,5987,974,530,1249,4284,2021,1337,3956,2498
"ETV1",5651,5434,4093,5254,4309,2256,3159,5907,3437,3330,698,1688,1717,209,539,2256,760,862,1150,4467
"AGK",1047,649,890,1384,662,379,557,1113,854,772,2021,3129,860,613,2365,2514,2675,1278,1674,1200
"ALDH3B1",9357,6754,9403,14899,6533,2851,6620,21192,8518,4195,6591,4912,1124,19173,13361,11877,7664,3028,195,3638
"TTC22",258,362,600,738,464,173,295,1035,501,170,1518,2383,433,552,2222,479,1221,719,82,434
"PHTF2",1269,712,1028,1433,781,641,703,1362,938,1170,1426,2506,1150,794,1805,4282,2312,1205,3086,1287
"CCL26",2,1,17,11,5,2,7,21,109,9,2,3,1,1,11,0,5,13,11,1
"FARP2",1825,1176,1599,1739,956,675,903,2091,1155,854,1877,4698,1018,472,1557,7116,3091,1883,1304,1298
"USH1C",6,2,4,47,31,0,2,14,66,8,648,13,3,3,258,26,82,22,7,40
"GGCT",495,221,393,568,248,140,173,566,246,425,1534,1748,601,438,2670,3150,7275,713,426,961
"DBF4",333,150,198,395,126,103,148,310,378,217,500,1115,424,231,824,1191,2083,471,1086,316
"TBXA2R",240,108,311,271,185,92,184,93,116,579,148,168,21,12,115,85,155,109,15,37
"IFRD1",325,330,252,565,406,284,248,642,218,208,634,584,167,264,1714,1761,741,581,2096,275
"LGALS14",0,0,1,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,13,1
"COX10",888,429,700,760,357,202,382,778,639,490,522,1131,266,241,682,1722,1047,627,275,561
"GTF2IRD1",2043,734,1016,1105,609,310,511,996,671,448,2230,2232,354,895,3297,3511,4594,1148,639,596
"PAF1",4111,2163,3382,3950,2197,1423,1515,3605,2794,2324,5919,4605,1625,1728,7504,5872,6834,2251,521,2130
"VPS41",4180,2685,3336,4619,2408,1552,2116,4183,2614,2080,4003,8732,2754,2006,2947,7544,8835,2971,2035,3534
"ARHGAP44",2343,2426,2914,3996,2156,1211,1883,5926,1831,1175,328,2775,499,409,1935,3905,251,479,135,930
"ELAC2",3399,1717,2861,3567,1637,808,1560,3015,2573,1774,1910,3375,604,885,3443,10113,4755,2341,549,2319
"SCIN",764,892,725,658,675,322,463,910,607,677,7833,2522,1718,164,107,15323,7990,639,830,316
"ARSD",3230,2023,4776,5318,3322,971,1815,6187,3850,2278,8914,3843,2145,3283,6815,9975,7240,5033,553,11129
"PNPLA4",678,442,966,1505,738,216,345,1520,918,1068,1458,1095,345,677,885,1412,2677,396,65,1065
"MYH13",7,1,6,18,4,7,8,9,0,0,4,7,2,0,11,0,2,4,36,0
"ADIPOR2",8198,4366,4287,5674,6404,2820,4057,5306,3456,4082,6518,7327,1603,928,3520,10042,8188,1887,1394,2437
"CDKL3",9,8,7,18,6,6,11,23,9,15,27,28,4,12,75,19,50,9,135,30
"UPP2",3,1,2,5,1,2,3,13,4,8,6,17,0,2,3,0,5,8,36,6
"PRSS21",459,469,124,595,177,37,122,130,253,498,766,711,53,1,7,737,8,46,5,1
"MARK4",1883,1079,1956,1985,868,547,800,1516,1353,989,4675,1851,476,427,2087,2892,4362,1269,223,974
"PROM1",112,84,81,342,620,26,26,425,266,118,201,14466,208,41,555,168,46,253,65,1975
"CCDC124",2935,1271,2211,2890,1029,714,995,2773,1999,2202,6306,3498,290,1596,4628,3233,2770,1648,54,1328
"CEACAM21",847,360,512,368,185,128,225,694,291,658,140,269,38,15,101,56,90,176,18,112
"PAFAH1B1",9514,5739,7312,10010,5524,3685,5098,9147,5262,4808,15341,8549,3099,1694,4210,5828,7676,4067,4738,5133
"NOS2",248,71,202,430,69,85,171,196,111,191,78,777,11,17,34,83,123,36,10,8
"DNAH9",61,236,226,1991,856,12,250,2242,513,81,168,12,6,10,349,5,3,229,21,936
"KIAA0100",8620,4901,6880,8748,3653,1505,3955,7420,5418,3569,7089,10953,4820,1438,4737,27079,12640,4378,3460,5825
"SLC13A2",19,45,104,22,97,39,32,21,86,22,72,116,4,0,6,3,127,1,3,0
"GAS7",8036,2200,5118,6284,1252,1238,2483,3238,2389,2373,2453,3393,507,44,1347,846,376,2297,853,2158
"TRAPPC6A",970,437,961,1186,429,212,373,1180,1097,1031,977,1710,119,1116,1812,1630,1421,784,14,412
"MATK",830,442,563,843,246,172,193,222,584,940,328,309,20,40,133,86,124,378,5,129
"CEACAM7",9,3,8,99,4,2,2,11,3,8,306,152,7,80,87188,35,161,17,37,52
"CD79B",85,37,127,131,27,27,37,60,2858,112,139,90,40,9,273,64,50,314,5,255
"SCN4A",7,3,16,14,3,3,4,10,44,2,16,18,7,7,34,1090,176,7,2,7
"ST7L",462,255,311,655,271,223,298,577,258,468,538,1133,329,214,217,1140,456,297,646,360
"TKTL1",13,51,15,24,46,6,189,38,20,23,11,201,1,13,3,75,48,6,9,11
"PAX6",0,0,0,2,1,2,2,1,3,2,1,5,0,0,4,0,2,0,21,1
"RPUSD1",1166,406,817,923,260,106,310,824,917,740,2410,1709,50,339,937,1905,2179,924,47,850
"RHBDF1",1894,1004,2011,2169,805,636,883,1303,932,1312,4256,4077,356,593,1466,2699,4373,1898,498,1869
"LUC7L",1263,631,1117,1605,1049,702,616,2045,956,561,3695,6294,824,1113,2214,5203,2174,1942,2805,1578
"CACNA2D2",17375,10591,12336,14039,9661,4509,7842,20198,11667,2551,539,2633,727,3975,234,16505,186,488,52,4887
"BAIAP3",186,128,213,1304,489,55,192,1130,345,130,1035,349,184,155,423,3174,1788,568,127,1502
"TSR3",1482,744,1272,1759,587,254,573,1428,1134,1615,3535,2302,117,632,1173,1691,1716,1281,63,974
"PIGQ",2306,1240,2254,2733,1269,565,1081,2961,1954,1685,6455,2809,262,1043,1940,3277,3145,2130,165,1749
"CRAMP1",701,640,821,1002,643,209,443,1087,654,232,1769,1627,412,286,612,1243,1142,600,517,747
"TEAD3",3219,1190,2195,2193,1177,678,959,1845,1156,1214,8296,5465,879,1096,4114,4028,2504,1297,305,1686
"SELE",1484,136,165,555,107,3693,639,100,221,651,52,89,12,8,71,262,25,58,60,179
"DNAJC11",1449,804,1111,1547,764,442,733,1297,978,559,2831,3377,666,632,1139,4019,2848,999,495,1258
"FMO3",872,775,2413,1449,654,552,442,1649,1036,2680,937,609,114,64,608,103,288,329,181,739
"MYLIP",1457,2883,2352,3187,2441,1227,1949,4120,1639,2437,2197,4490,1373,2649,1672,5615,3571,857,394,1958
"NOX1",24,20,34,54,30,22,14,51,28,41,172,154,56,19,197,128,96,62,19,50
"E2F2",261,43,76,133,16,8,32,38,385,48,413,1180,226,57,1208,685,888,320,76,98
"PSMB1",6195,3009,4739,6901,3316,2164,2503,6686,4504,8317,6698,8876,3692,3152,8266,5139,8305,4215,810,3571
"SYN1",137,36,83,145,18,38,22,29,42,56,82,36,16,5,48,49,314,61,23,30
"JARID2",1518,948,1194,1400,720,598,650,1253,1142,365,1983,3547,388,405,1313,2971,1453,979,966,980
"CDKL5",2180,2115,1715,2047,2252,978,1810,2930,1279,604,1065,1472,739,324,625,2365,1143,645,1042,1077
"CAMK1G",44,31,145,157,37,31,64,35,82,41,76,172,26,2,28,34,13,57,65,58
"CDK11A",26,35,30,65,35,14,19,53,51,10,54,133,11,29,155,66,57,39,35,65
"NADK",4377,1950,2989,4299,1459,865,1548,3396,3379,2042,5419,7377,979,2326,4101,9688,5876,2835,498,2802
"TFAP2B",9,0,5,28,24,0,9,38,1,5,2,276,2,0,2,1,12,0,7,0
"TFAP2D",0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,3453,8,0,11,0
"DLEC1",54,109,167,779,354,48,133,919,220,32,213,93,35,207,819,278,239,354,57,569
"CYTH3",2350,2173,5478,5451,1614,972,2276,3516,1552,2313,1869,5479,544,293,1776,1994,2007,1823,617,1835
"ADAM22",133,122,199,673,138,152,229,464,202,132,247,883,112,23,54,563,62,355,429,322
"SYPL1",5905,4170,5191,7634,4903,2984,3684,8814,5300,6428,5219,13536,3400,4691,3594,6973,9514,3348,2393,5753
"CYB561",4692,3135,5535,7156,2834,1758,3142,7730,3750,3970,9611,12068,3017,4228,7927,19534,10773,4337,548,5012
"SPAG9",9704,5707,7026,8969,6418,4294,4954,9276,4665,2857,5457,11416,4603,1696,3744,12488,6417,5845,7120,5968
"CELSR3",103,55,81,127,35,24,51,79,96,18,1112,1463,840,239,2459,744,3398,565,342,88
"AASS",2658,857,1007,1043,1496,1180,806,1727,569,479,947,3188,2774,426,294,1372,460,1194,2359,1228
"PLEKHG6",190,209,240,321,177,49,95,366,125,96,2016,2124,113,276,1083,926,1945,1099,51,152
"SS18L2",488,276,392,616,355,213,241,757,556,684,947,1031,472,605,806,1091,1081,603,184,368
"MPND",1050,501,542,950,261,149,242,710,496,552,699,914,79,214,417,879,648,467,45,355
"MGST1",11051,5888,4044,6185,7032,2447,2429,9469,4661,8145,14370,19935,10530,29533,9877,27355,8664,15882,3333,6598
"CRY1",2953,686,1541,2032,852,1002,735,2125,1021,1495,1205,1353,523,407,2262,2512,1501,948,671,787
"PGLYRP1",44,0,7,12,1,8,2,4,11,18,4,58,1,1,1,2,2,6,1,3
"NFIX",8213,9998,12774,17454,6642,3100,7213,14137,7606,5333,4466,9373,1604,1452,1315,1748,1090,1402,576,16539
"ST3GAL1",15970,3553,4848,8190,2630,1926,2706,5372,5340,3156,2594,6908,1660,1093,1349,65016,4586,4611,2447,3329
"MMP25",624,109,181,248,57,104,81,115,297,102,258,132,37,195,104,43,136,214,30,136
"IL32",5162,2679,5623,5939,2203,2165,2127,5852,4485,7977,7721,2518,1233,505,2060,1169,1805,5947,146,2614
"PKD1",2622,2172,3351,5179,1382,534,1990,2463,1653,884,3189,2828,130,415,1682,3751,2496,1483,413,1834
"MAPK8IP2",227,77,164,384,136,44,65,209,200,91,313,963,383,30,535,3298,7753,494,5,39
"MED24",7009,2417,3795,4371,2233,2155,1803,4212,3115,3064,9477,17199,1070,1731,9154,7899,6515,3960,620,2021
"RHOBTB2",14714,4057,6324,6766,5667,2248,4412,8288,7114,3751,10233,3541,2678,2661,2249,9375,7624,2214,207,3511
"HEATR5B",3246,1902,2287,3196,1506,1249,1514,2625,1519,768,2826,3468,1158,447,1526,5989,2837,1694,1674,1906
"SEC62",9387,7315,8226,11043,7950,6951,6393,14171,6427,8952,20084,15928,6252,4774,4872,11255,23643,6103,4029,7103
"RPS20",28575,19137,31273,51533,21075,13212,14332,41300,36114,39737,30477,31695,17299,44269,62914,110353,47141,23915,2835,24130
"CSDE1",28444,23203,30472,40643,22021,16233,18926,35491,21411,20839,36359,53366,20454,7114,15123,44686,27939,17965,11208,20591
"UBE3C",6126,3174,4227,5524,2682,1627,2621,4839,3212,3340,4271,10802,2851,1585,4329,14143,10674,3444,3703,4283
"REV3L",1922,2023,1746,2911,1521,1202,1596,2388,1198,575,1718,2175,942,239,400,6029,672,811,3761,1835
"TENM1",61,73,41,173,103,82,53,110,36,79,29,164,26,4,38,11813,258,60,162,66
"PAX7",0,0,0,1,10,0,0,0,0,0,5,13,0,3,51,22,0,0,1,164
"MASP2",56,67,64,122,76,39,59,126,58,12,145,184,65,28,17,108,23,32,97,91
"IYD",81,262,375,180,249,106,198,350,170,106,260,2774,647,468,406,859,1250,112,96,1055
"FAM76A",885,693,695,1017,829,556,670,1177,517,1058,890,1945,600,500,553,869,632,795,340,772
"TRAF3IP3",195,194,406,563,143,137,128,209,1176,190,618,441,414,24,387,238,193,783,382,764
"POMT2",962,552,993,1134,527,222,461,1347,678,462,198,1773,334,259,815,3229,3183,746,274,813
