"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"CARD9",904,298,392,486,123,106,161,393,385,335,738,530,21,11,439,289,339,291,106,315
"PEAR1",901,1027,1770,2228,962,568,1033,735,788,910,299,524,67,52,112,258,209,190,119,254
"ZFP69B",75,16,46,41,13,14,18,42,26,44,152,319,61,71,106,1438,111,69,97,77
"TMEM202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"SOWAHD",245,50,189,315,20,7,47,254,169,146,120,105,11,0,89,17,72,81,2,54
"AC019294.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ZFP69",207,123,140,283,121,53,115,326,188,184,435,573,272,248,259,818,309,235,212,259
"HELT",12,7,10,22,4,1,12,20,0,21,3,0,1,0,2,0,0,0,0,1
"RTL4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TMEM220",511,362,363,561,395,184,348,764,288,316,248,424,98,110,117,91,21,323,142,231
"C2orf78",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0
"H1-2",679,614,634,1062,450,357,418,1580,735,841,1918,5921,646,1348,7597,12300,679,689,807,354
"PLSCR3",3,6,0,4,3,1,2,1,1,0,8,3,0,0,8,3,3,4,2,3
"EIF4EBP1",1421,455,769,931,275,129,243,801,679,1334,1764,4573,190,150,6189,1111,3069,1004,82,424
"OR7E25P",0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,1,2,4,3
"P2RX2",28,70,21,81,25,15,64,40,115,74,12,10,1,4,7,5,1,25,3,49
"ASCL4",1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,1,1,3,5,2
"OR6C75",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,8,0
"CCDC157",86,42,79,185,51,27,43,209,93,71,205,219,23,126,201,770,176,102,22,125
"TTC24",11,6,5,3,3,8,2,7,57,4,26,9,9,0,48,10,21,72,3,32
"FAM122A",1384,1142,1429,2101,1172,766,942,1594,1145,1268,1491,1596,673,385,1104,1146,2460,726,425,1007
"PALM3",1348,329,239,693,673,49,435,2235,837,295,1282,2187,161,476,132,374,4,398,11,728
"RNFT1P3",2,0,3,10,1,0,4,2,0,4,1,7,6,0,6,0,0,0,7,0
"GFRAL",0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0
"FYB2",27,165,210,233,404,129,161,680,112,80,28,350,165,3,45,1405,1124,149,37,124
"CXXC1P1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0
"OR5H7P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SHISA7",1,0,1,4,0,0,1,1,1,0,21,1,2,1,7,0,2,2,11,0
"AC097382.1",2,2,0,1,0,0,1,1,0,1,7,1,1,0,2,2,1,2,45,0
"LRRC74B",2,6,2,51,46,0,5,161,19,4,8,2,8,2,131,6,4,37,17,267
"DMBT1",39286,8335,11310,8128,6507,5578,4485,19455,36639,9290,1070,3575,10294,6,625,998,115,2668,745,11082
"CLEC17A",15,11,2,13,14,15,6,7,455,11,32,21,67,0,49,16,8,98,48,65
"OR51I2",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,22,0
"LCN10",17,0,6,4,3,5,3,2,3,0,3,3,0,0,13,2,0,11,0,3
"LDLRAD2",56,50,161,186,79,41,83,80,53,34,43,99,7,32,20,59,124,65,30,126
"C2orf66",15,3,3,26,18,10,1,22,4,5,18,22,22,1,6,3,7,12,20,13
"OVCH1",86,111,218,229,74,60,180,427,264,45,10,19,17,0,1,0,7,10,22,7
"AC091057.1",56,64,58,84,37,21,18,71,84,15,224,229,77,27,161,871,493,133,291,115
"HS6ST1P1",21,6,20,27,2,2,18,17,13,18,20,5,1,4,10,10,21,23,0,6
"PMS2CL",149,90,148,245,117,77,89,228,167,48,255,369,146,107,468,1539,752,326,194,160
"CYHR1",1769,1017,1895,2373,888,369,812,2270,1850,1351,2686,4309,382,1724,3697,8711,4615,1918,182,1352
"COL14A1",3670,2085,7645,9653,1202,1227,2470,2153,2140,3741,6796,6347,368,83,670,1353,370,4011,590,2628
"DNER",19,29,46,431,136,12,46,262,64,41,28,9,40,8,48,649,1518,180,21,241
"CPSF4L",1,0,3,4,1,0,1,1,4,0,3,2,0,0,11,4,8,4,8,1
"KLHL17",168,112,167,200,147,83,83,236,155,81,605,1208,53,231,703,1870,679,507,95,249
"ZCCHC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM230D",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PLA2G2C",9,4,20,37,6,3,8,37,24,25,123,85,7,176,66,176,117,94,147,34
"ANKRD19P",27,13,43,47,32,15,21,56,32,12,105,45,60,31,91,10,34,38,22,29
